,theta,size_r,r,stp_size,stp_pos_y,p,t_p,x0,y0,x1,y1,rt,response,soa,name,sex,age,distance
0,90,0.45,10,0.5,-3,66.45263671875,4.741040399996564,-0.297578125,-3.2962499999999997,-0.0915625,7.141875000000001,0.5967572000226937,hit,0.2,a,a,a,50
1,45,0.15,10,0.5,-3,6.221679687499993,1.7869974999921396,-0.13734375000000001,-2.907109375,7.141875000000001,4.1203125,0.6975784000242129,hit,0.3,a,a,a,50
2,90,0.9,10,0.5,-3,98.21337890625,1.4510130000126082,-0.0915625,-3.2962499999999997,0.32046874999999997,6.752734375,0.7161409000109416,hit,0.1,a,a,a,50
3,45,0.45,10,0.5,-3,81.61767578125,3.185537400015164,0.13734375000000001,-2.861328125,7.187656250000001,3.9600781250000003,0.6305435000103898,hit,0.2,a,a,a,50
4,135,0.15,10,0.5,-3,69.31396484375,1.3683769000053871,-0.0915625,-2.907109375,-7.09609375,3.89140625,0.9296242000127677,miss,0.2,a,a,a,50
5,45,0.9,10,0.5,-3,100.0,2.0525242000003345,0.13734375000000001,-3.1817968750000003,6.8900781250000005,4.372109375,0.7639542000251822,hit,0.1,a,a,a,50
6,45,0.9,10,0.5,-3,87.76953125,4.9009394999884535,0.04578125,-3.2046875,7.393671875,3.6167187500000004,0.6469055999768898,hit,0.1,a,a,a,50
7,135,0.15,10,0.5,-3,29.398437500000004,1.6834897999942768,-0.04578125,-3.113125,-5.928671875,2.083046875,0.6467736999911722,miss,0.1,a,a,a,50
8,45,0.9,10,0.5,-3,92.20458984375,1.3692168999987189,-0.297578125,-2.907109375,7.141875000000001,4.4865625,1.0121195000247099,no_response,0.2,a,a,a,50
9,45,0.45,10,0.5,-3,47.28173828125,2.452380400005495,0.04578125,-3.044453125,6.249140625000001,-0.572265625,1.0134533000236843,no_response,0.1,a,a,a,50
10,90,0.45,10,0.5,-3,68.74169921875,2.4200267999840435,-0.4578125,-2.9986718750000003,-0.36625,-3.0215625,0.5964022999978624,miss,0.2,a,a,a,50
11,90,0.75,10,0.5,-3,42.13134765625,2.033463900006609,0.16023437499999998,-3.090234375,0.32046874999999997,6.500937500000001,0.7140162000141572,hit,0.1,a,a,a,50
12,135,0.75,10,0.5,-3,79.185546875,1.0530438999994658,-0.04578125,-3.2733593750000005,-7.141875000000001,3.8456250000000005,0.5801557000086177,hit,0.1,a,a,a,50
13,90,0.3,10,0.5,-3,76.0380859375,1.4534287999849766,0.0915625,-3.044453125,0.13734375000000001,7.325,0.6142751999723259,miss,0.1,a,a,a,50
14,45,0.3,10,0.5,-3,76.75341796875,1.3201723000092898,-0.0915625,-2.815546875,7.027421875,4.25765625,0.6798457999830134,hit,0.2,a,a,a,50
15,45,0.9,10,0.5,-3,85.90966796875,1.6025761000055354,0.114453125,-3.2962499999999997,6.798515625,3.43359375,0.6145879999967292,hit,0.1,a,a,a,50
16,90,0.15,10,0.5,-3,85.90966796875,1.7527484000020195,0.297578125,-3.044453125,0.0,6.981640625,0.6474061999761034,hit,0.3,a,a,a,50
17,135,0.6,10,0.5,-3,90.630859375,1.7702276000054553,0.22890625,-2.97578125,-6.661171875000001,4.463671875,0.5490492999961134,hit,0.3,a,a,a,50
18,135,0.9,10,0.5,-3,96.35351562500001,1.5363687000062782,0.114453125,-3.0215625,-7.851484375,4.509453125,0.4151121999893803,hit,0.2,a,a,a,50
19,135,0.75,10,0.5,-3,97.2119140625,1.3866794999921694,0.27468750000000003,-3.1360156249999998,-7.118984375000001,3.9600781250000003,0.5800545000238344,hit,0.1,a,a,a,50
20,45,0.6,10,0.5,-3,72.46142578125,4.070541299995966,-0.114453125,-2.93,7.073203125000001,4.16609375,0.6666176999860909,hit,0.2,a,a,a,50
21,135,0.45,10,0.5,-3,75.89501953125,0.9707820999901742,0.22890625,-3.06734375,-6.981640625,4.16609375,0.749489599984372,hit,0.1,a,a,a,50
22,90,0.6,10,0.5,-3,97.7841796875,1.103434999997262,0.16023437499999998,-2.815546875,-0.343359375,7.187656250000001,0.4824165999889374,hit,0.2,a,a,a,50
23,90,0.75,10,0.5,-3,100.0,1.1065831999876536,0.022890625,-2.93,0.022890625,6.82140625,0.5843675000069197,hit,0.1,a,a,a,50
24,135,0.9,10,0.5,-3,100.0,1.1685875999974087,0.0915625,-2.93,-6.844296875,3.8456250000000005,0.598924599995371,hit,0.1,a,a,a,50
25,90,0.15,10,0.5,-3,20.67138671875,1.5039495999808423,-0.06867187500000001,-2.8384375000000004,0.13734375000000001,7.0503124999999995,0.7476962000073399,hit,0.1,a,a,a,50
26,90,0.3,10,0.5,-3,95.63818359375,0.9605822000012267,-0.13734375000000001,-2.907109375,0.04578125,6.8900781250000005,0.5652303000097163,hit,0.3,a,a,a,50
27,45,0.75,10,0.5,-3,93.4921875,0.9378480000013951,0.06867187500000001,-2.93,6.8671875,3.456484375,0.49852870000177063,hit,0.1,a,a,a,50
28,45,0.15,10,0.5,-3,100.0,0.9527864000119735,-0.04578125,-2.93,6.752734375,3.79984375,0.6146586999821011,miss,0.2,a,a,a,50
29,90,0.15,10,0.5,-3,59.01318359374999,1.653393499989761,0.0,-2.723984375,0.04578125,7.004531250000001,0.5148786000208929,hit,0.3,a,a,a,50
30,45,0.15,10,0.5,-3,41.98828125,1.2877034999837633,-0.022890625,-2.815546875,6.935859375,3.9371875000000003,0.5798963999841362,miss,0.2,a,a,a,50
31,135,0.45,10,0.5,-3,69.1708984375,1.0253909999737516,-0.27468750000000003,-2.70109375,-6.935859375,3.9600781250000003,0.5128238000033889,hit,0.3,a,a,a,50
32,135,0.9,10,0.5,-3,86.625,0.917966000008164,-0.04578125,-3.044453125,-6.981640625,3.98296875,0.7648337999999058,hit,0.1,a,a,a,50
33,90,0.15,10,0.5,-3,49.85693359375,1.7190658999898005,-0.13734375000000001,-2.746875,-0.16023437499999998,7.118984375000001,0.5960739000001922,miss,0.3,a,a,a,50
34,45,0.6,10,0.5,-3,50.0,3.365330600005109,0.06867187500000001,-2.93,7.233437500000001,4.234765625,0.4968583000008948,hit,0.3,a,a,a,50
35,45,0.75,10,0.5,-3,73.462890625,1.0170453999890015,0.0915625,-3.06734375,6.935859375,3.9142968750000002,0.6146476999856532,hit,0.2,a,a,a,50
36,90,0.3,10,0.5,-3,22.245117187500004,1.1234407000010833,-0.022890625,-3.2046875,-0.022890625,6.775625000000001,0.7793519000115339,hit,0.1,a,a,a,50
37,135,0.6,10,0.5,-3,85.1943359375,0.9348019000026397,-0.13734375000000001,-2.97578125,-6.981640625,3.479375,1.0267083999933675,no_response,0.1,a,a,a,50
38,90,0.3,10,0.5,-3,79.185546875,1.3261518999934196,-0.114453125,-2.51796875,0.25179687500000003,7.141875000000001,0.7818504000024404,hit,0.1,a,a,a,50
39,45,0.3,10,0.5,-3,59.15625,1.0332667999900877,0.06867187500000001,-2.6553125,7.187656250000001,4.143203125,0.5291901000018697,hit,0.2,a,a,a,50
