,theta,size_r,r,stp_size,stp_pos_y,p,t_p,x0,y0,x1,y1,rt,response,soa,name,sex,age,distance
0,45,0.6,10,0.5,-4,85.90966796875,2.3784774999367073,-0.36625,-4.074531250000001,-0.36625,-4.074531250000001,0.711979900021106,no_response,0.2,a,a,a,50
1,135,0.15,10,0.5,-4,19.669921874999996,4.067351400037296,-0.183125,-3.79984375,-0.183125,-3.79984375,0.7136923000216484,no_response,0.1,a,a,a,50
2,135,0.15,10,0.5,-4,82.18994140625,0.6183462999761105,0.04578125,-4.211875,-7.004531250000001,3.319140625,0.7124497999902815,no_response,0.2,a,a,a,50
3,45,0.75,10,0.5,-4,91.4892578125,0.7862533999141306,-0.114453125,-3.70828125,6.592499999999999,2.815546875,0.7150408999295905,hit,0.3,a,a,a,50
4,135,0.75,10,0.5,-4,92.0615234375,0.802294599940069,0.04578125,-3.639609375,-7.073203125000001,3.2504687500000005,0.6615931999403983,hit,0.2,a,a,a,50
5,45,0.9,10,0.5,-4,40.271484375,1.7029490999411792,0.25179687500000003,-3.9371875000000003,7.302109375000001,3.3649218750000003,0.6274715999606997,hit,0.1,a,a,a,50
6,135,0.9,10,0.5,-4,89.05712890625,0.8120360999600962,0.04578125,-4.25765625,0.04578125,-4.25765625,0.7151501000626013,no_response,0.1,a,a,a,50
7,135,0.45,10,0.5,-4,91.63232421875,0.8659385999199003,0.022890625,-3.776953125,0.022890625,-3.776953125,0.7112868999829516,no_response,0.1,a,a,a,50
8,135,0.3,10,0.5,-4,88.6279296875,0.6461451000068337,-0.022890625,-3.7311718750000002,-7.4165625,2.952890625,0.680606700014323,miss,0.1,a,a,a,50
9,135,0.45,10,0.5,-4,92.20458984375,0.6660601999610662,-0.022890625,-3.8456250000000005,-7.027421875,3.2962499999999997,0.6729132999898866,hit,0.2,a,a,a,50
10,45,0.6,10,0.5,-4,80.330078125,1.0290411999449134,0.04578125,-3.9600781250000003,0.04578125,-3.9600781250000003,0.7134361999342218,no_response,0.2,a,a,a,50
11,135,0.15,10,0.5,-4,11.658203125,2.8524444999638945,0.0,-4.051640625,0.0,-4.051640625,0.7123870000941679,no_response,0.1,a,a,a,50
12,45,0.15,10,0.5,-4,8.510742187499998,1.2413092000642791,0.27468750000000003,-3.70828125,0.27468750000000003,-3.70828125,0.7113487999886274,no_response,0.3,a,a,a,50
13,135,0.3,10,0.5,-4,58.583984375,2.3649568000109866,0.04578125,-3.6167187500000004,-7.347890625000001,3.06734375,0.6646157000213861,hit,0.2,a,a,a,50
14,45,0.3,10,0.5,-4,50.8583984375,1.0149733999278396,0.32046874999999997,-3.98296875,0.32046874999999997,-3.98296875,0.713737600017339,no_response,0.1,a,a,a,50
15,45,0.6,10,0.5,-4,87.05419921875,0.7753036998910829,0.16023437499999998,-3.9371875000000003,6.661171875000001,2.6553125,0.5811155999545008,hit,0.2,a,a,a,50
16,45,0.45,10,0.5,-4,89.486328125,0.7402468000072986,0.27468750000000003,-4.211875,7.508125,3.2733593750000005,0.6430513999657705,miss,0.2,a,a,a,50
17,135,0.6,10,0.5,-4,87.62646484375,0.7035357999848202,0.32046874999999997,-3.7540625,-6.592499999999999,2.97578125,0.6623854000354186,hit,0.3,a,a,a,50
18,135,0.15,10,0.5,-4,34.2626953125,1.385565000004135,0.022890625,-3.7311718750000002,0.022890625,-3.7311718750000002,0.7133674999931827,no_response,0.1,a,a,a,50
19,45,0.75,10,0.5,-4,84.3359375,0.6384604000486434,0.06867187500000001,-4.074531250000001,0.06867187500000001,-4.074531250000001,0.7143454999895766,no_response,0.2,a,a,a,50
