,direction,r,size_L,size_R,stage,theta_L,theta_R,type,w_L,w_R,x0,y0,x1,y1,theta_L1,theta_R1,rt,response,score,choose,name,sex,age,distance
29,True,7.0,16,0,phase_1,45,0,v,60,0,0.06867187500000001,0.27468750000000003,5.49375,1.23609375,12.903863999963505,0.0,0.0,hit,100,1,lll,1,23,50
30,True,7.0,16,0,phase_1,315,0,v,30,0,0.27468750000000003,0.04578125,3.2046875,-6.363593750000001,294.9877560001187,0.0,0.0,miss,0,1,lll,1,23,50
31,True,7.0,16,0,phase_1,135,0,v,30,0,0.27468750000000003,-0.022890625,-2.128828125,5.4021875,116.94843599987507,0.0,0.0,hit,100,1,lll,1,23,50
32,False,7.0,16,0,phase_1,135,0,v,30,0,0.16023437499999998,-0.25179687500000003,-5.310625,1.899921875,156.03192300004594,0.0,0.0,hit,100,1,lll,1,23,50
33,True,7.0,16,0,phase_1,225,0,v,0,0,-0.0915625,-0.16023437499999998,-3.8227343750000005,-4.417890625,225.0,0.0,0.0,hit,100,1,lll,1,23,50
34,False,7.0,16,0,phase_1,225,0,v,30,0,0.022890625,-0.114453125,-2.815546875,-5.104609375000001,246.50016000006872,0.0,0.0,hit,100,1,lll,1,23,50
35,True,7.0,16,0,phase_1,135,0,v,60,0,-0.04578125,0.27468750000000003,-1.1903125,5.86,95.97280200017849,0.0,0.0,hit,100,1,lll,1,23,50
36,True,7.0,16,0,phase_1,225,0,v,60,0,-0.022890625,0.297578125,-5.49375,-0.526484375,190.96860599995125,0.0,0.0,hit,100,1,lll,1,23,50
37,False,7.0,16,0,phase_1,315,0,v,60,0,-0.0915625,-0.22890625,4.417890625,0.41203124999999996,387.0532139998977,0.0,1.2010334000005969,no_response,-300,1,lll,1,23,50
38,False,7.0,16,0,phase_1,135,0,v,0,0,-0.20601562499999998,0.183125,-3.6167187500000004,4.188984375,135.0,0.0,0.0,hit,100,1,lll,1,23,50
39,True,7.0,16,0,phase_1,225,0,v,0,0,-0.114453125,0.22890625,-4.074531250000001,-3.7540625,225.0,0.0,0.0,hit,100,1,lll,1,23,50
40,False,7.0,16,0,phase_1,135,0,v,60,0,0.22890625,0.183125,-3.639609375,-2.2890625,207.03857399974368,0.0,1.2007864999977755,no_response,-300,1,lll,1,23,50
41,True,7.0,16,0,phase_1,135,0,v,0,0,0.06867187500000001,0.25179687500000003,-5.333515625,4.89859375,135.0,0.0,0.0,miss,0,1,lll,1,23,50
42,True,7.0,16,0,phase_1,135,0,v,0,0,0.183125,-0.20601562499999998,-4.0287500000000005,3.9142968750000002,135.0,0.0,0.0,hit,100,1,lll,1,23,50
43,True,7.0,16,0,phase_1,315,0,v,0,0,0.22890625,0.13734375000000001,3.6625,-4.234765625,315.0,0.0,0.0,hit,100,1,lll,1,23,50
44,False,7.0,16,0,phase_1,135,0,v,0,0,0.022890625,0.297578125,-3.98296875,4.051640625,135.0,0.0,0.0,hit,100,1,lll,1,23,50
45,False,7.0,16,0,phase_1,225,0,v,60,0,-0.297578125,0.0,-1.8083593750000002,-5.287734375,257.0102099997166,0.0,0.0,hit,100,1,lll,1,23,50
46,False,7.0,16,0,phase_1,315,0,v,60,0,0.06867187500000001,-0.25179687500000003,5.653984375,-0.22890625,355.0622639997164,0.0,0.0,hit,100,1,lll,1,23,50
47,False,7.0,16,0,phase_1,135,0,v,30,0,0.22890625,0.06867187500000001,-5.26484375,1.991484375,155.5293420000089,0.0,0.0,hit,100,1,lll,1,23,50
48,True,7.0,16,8,phase_2,110,70,vs,30,0,-0.114453125,0.25179687500000003,-3.2504687500000005,4.463671875,133.51418599981116,70.0,0.0,hit,100,left,lll,1,23,50
49,True,7.0,8,24,phase_2,110,70,vs,0,60,-0.022890625,0.0915625,-1.945703125,5.310625,110.0,28.96885599970119,0.0,hit,100,left,lll,1,23,50
50,True,7.0,24,8,phase_2,110,70,vs,30,0,-0.04578125,0.16023437499999998,-4.143203125,3.89140625,127.359359000111,70.0,0.0,hit,100,left,lll,1,23,50
51,False,7.0,16,24,phase_2,250,-70,vs,0,60,-0.022890625,0.0,-1.83125,-5.1732812500000005,250.0,2.005718000145862,1.2003618000017013,no_response,-300,0,lll,1,23,50
52,False,7.0,24,8,phase_2,250,-70,vs,60,30,-0.022890625,0.22890625,-4.463671875,-3.3878125000000003,206.2906840001233,-48.145342000061646,0.0,hit,100,left,lll,1,23,50
53,False,7.0,8,8,phase_2,250,-70,v,30,60,-0.13734375000000001,0.0,-4.234765625,-3.456484375,213.98266899996088,2.0346620000782423,1.2007853999966756,no_response,-300,0,lll,1,23,50
54,False,7.0,16,8,phase_2,250,-70,vs,30,0,0.0,0.06867187500000001,-4.5552343749999995,-3.79984375,221.41803400001663,-70.0,0.0,hit,100,left,lll,1,23,50
55,False,7.0,24,8,phase_2,250,-70,vs,30,0,0.022890625,0.183125,-5.974453125,-3.8227343750000005,220.63002700000652,-70.0,0.0,miss,0,left,lll,1,23,50
56,True,7.0,16,8,phase_2,110,70,vs,60,30,0.183125,0.183125,-3.1589062500000002,6.249140625000001,154.62909200025024,47.68545399987488,0.0,miss,0,left,lll,1,23,50
57,True,7.0,24,16,phase_2,110,70,vs,60,0,-0.0915625,0.13734375000000001,2.311953125,4.372109375,182.64167599991197,70.0,1.210912800001097,no_response,-300,0,lll,1,23,50
58,False,7.0,8,24,phase_2,250,-70,vs,0,30,-0.06867187500000001,-0.022890625,-1.716796875,-5.26484375,250.0,-51.63891099997272,0.0,hit,100,left,lll,1,23,50
59,False,7.0,16,16,phase_2,250,-70,v,0,60,-0.0915625,-0.13734375000000001,-2.15171875,-5.1274999999999995,250.0,-18.486207999812905,0.0,hit,100,left,lll,1,23,50
60,True,7.0,16,8,phase_2,110,70,s,0,0,-0.022890625,-0.06867187500000001,-1.716796875,5.287734375,110.0,70.0,0.0,hit,100,left,lll,1,23,50
61,False,7.0,8,16,phase_2,250,-70,vs,0,30,0.0,0.06867187500000001,-1.9228125000000003,-5.1732812500000005,250.0,-43.711377999934484,0.0,hit,100,left,lll,1,23,50
62,True,7.0,8,24,phase_2,110,70,vs,0,30,0.0,0.27468750000000003,-2.1059375,5.196171875,110.0,54.64243599992187,0.0,hit,100,left,lll,1,23,50
63,False,7.0,16,24,phase_2,250,-70,vs,30,60,0.06867187500000001,-0.16023437499999998,-3.3420312500000002,-4.738359375,229.84948299999814,-29.69896599999629,0.0,hit,100,left,lll,1,23,50
64,True,7.0,24,16,phase_2,110,70,vs,30,0,-0.022890625,0.114453125,-3.5938281250000004,4.234765625,131.82717800002138,70.0,0.0,hit,100,left,lll,1,23,50
65,False,7.0,8,16,phase_2,250,-70,vs,30,60,0.114453125,-0.04578125,-4.6696875,-5.26484375,224.66116300005524,-19.32232600011048,0.0,miss,0,left,lll,1,23,50
66,False,7.0,8,16,phase_2,250,-70,vs,0,60,-0.114453125,0.20601562499999998,-2.357734375,-5.49375,250.0,-7.340362000104506,0.0,hit,100,left,lll,1,23,50
67,False,7.0,24,8,phase_2,250,-70,vs,60,0,-0.22890625,0.0,-5.1274999999999995,-2.4264062500000003,206.2693660001969,-70.0,0.0,hit,100,left,lll,1,23,50
68,False,7.0,16,24,phase_2,250,-70,vs,0,30,0.0915625,0.27468750000000003,-2.5866406250000002,-5.310625,250.0,-51.47864800004754,0.0,hit,100,left,lll,1,23,50
69,False,7.0,24,8,phase_2,250,-70,vs,30,0,0.0,0.022890625,-3.89140625,-4.372109375,233.29788099996222,-70.0,0.0,hit,100,left,lll,1,23,50
70,True,7.0,8,8,phase_2,110,70,v,30,0,0.0915625,0.06867187500000001,2.1975000000000002,4.944375,146.31081500003347,70.0,1.2105846000049496,no_response,-300,0,lll,1,23,50
71,True,7.0,8,16,phase_2,110,70,vs,0,30,0.114453125,0.114453125,-1.6710156250000001,5.26484375,110.0,45.622761999984505,0.0,hit,100,left,lll,1,23,50
72,True,7.0,8,24,phase_2,110,70,s,30,30,-0.13734375000000001,-0.13734375000000001,5.241953125,4.80703125,136.87852700015355,43.121472999846446,0.0,miss,0,right,lll,1,23,50
73,True,7.0,8,16,phase_2,110,70,vs,0,60,0.183125,0.0915625,-1.9228125000000003,5.1732812500000005,110.0,17.29572399999597,0.0,hit,100,left,lll,1,23,50
74,True,7.0,16,24,phase_2,110,70,s,30,30,0.0,0.0,3.479375,4.326328125,127.63844000000972,52.36155999999028,0.0,hit,100,right,lll,1,23,50
75,False,7.0,24,16,phase_2,250,-70,s,0,0,-0.0915625,-0.04578125,-2.083046875,-5.310625,250.0,-70.0,0.0,hit,100,left,lll,1,23,50
76,False,7.0,24,16,phase_2,250,-70,vs,60,30,0.0,0.20601562499999998,-5.4021875,-1.350546875,192.2130279999692,-41.1065139999846,0.0,hit,100,left,lll,1,23,50
77,True,7.0,24,16,phase_2,110,70,vs,30,0,0.183125,0.183125,0.183125,0.183125,124.3211870000232,70.0,0.48570979999931296,no_response,-300,none,lll,1,23,50
78,False,7.0,8,16,phase_2,250,-70,vs,0,30,0.04578125,0.114453125,-1.945703125,-5.63109375,250.0,-53.65379799994116,0.0,hit,100,left,lll,1,23,50
79,False,7.0,8,16,phase_2,250,-70,vs,30,60,0.114453125,0.183125,-3.98296875,-4.188984375,222.63591399998404,-15.271827999968082,0.0,hit,100,left,lll,1,23,50
80,True,7.0,16,24,phase_2,110,70,vs,0,60,-0.06867187500000001,0.20601562499999998,-1.075859375,6.95875,110.0,5.94695799969486,0.0,miss,0,left,lll,1,23,50
81,False,7.0,16,8,phase_2,250,-70,vs,30,0,-0.06867187500000001,0.25179687500000003,-3.685390625,-4.234765625,225.98713899998984,-70.0,0.0,hit,100,left,lll,1,23,50
82,True,7.0,24,16,phase_2,110,70,vs,60,30,-0.022890625,0.04578125,-4.71546875,2.907109375,150.40581199980807,49.79709400009597,0.0,hit,100,left,lll,1,23,50
83,True,7.0,16,8,phase_2,110,70,vs,60,0,0.022890625,0.114453125,-4.4865625,3.89140625,146.70894800015958,70.0,0.0,hit,100,left,lll,1,23,50
84,True,7.0,24,8,phase_2,110,70,s,60,60,-0.022890625,0.183125,-4.80703125,2.7697656250000002,146.6915479999443,33.308452000055695,0.0,hit,100,left,lll,1,23,50
85,True,7.0,16,8,phase_2,110,70,vs,60,30,0.04578125,0.04578125,-4.692578125,2.907109375,154.69233199983137,47.653834000084316,0.0,hit,100,left,lll,1,23,50
86,True,7.0,24,8,phase_2,110,70,vs,60,0,0.06867187500000001,0.022890625,-4.921484375,2.495078125,150.75677000000724,70.0,0.0,hit,100,left,lll,1,23,50
87,True,7.0,8,16,phase_2,110,70,vs,0,30,0.022890625,0.022890625,3.8456250000000005,3.9371875000000003,110.0,42.111237999997684,0.0,hit,100,right,lll,1,23,50
88,False,7.0,8,24,phase_2,250,-70,vs,0,60,0.06867187500000001,0.0,-2.06015625,-5.0359375,250.0,2.5569860002724454,1.2096885999999358,no_response,-300,0,lll,1,23,50
89,True,7.0,8,24,phase_2,110,70,vs,30,60,0.16023437499999998,0.20601562499999998,-4.280546875000001,3.456484375,143.78494700002193,2.4301059999561403,0.0,hit,100,left,lll,1,23,50
90,False,7.0,24,8,phase_2,250,-70,vs,30,0,-0.022890625,0.0,-3.456484375,-4.34921875,225.6032620001497,-70.0,0.0,hit,100,left,lll,1,23,50
91,False,7.0,24,16,phase_2,250,-70,vs,60,30,-0.0915625,0.13734375000000001,-4.509453125,-3.227578125,211.30238800004008,-50.65119400002004,0.0,hit,100,left,lll,1,23,50
92,False,7.0,8,24,phase_2,250,-70,vs,0,30,0.0,0.183125,-1.87703125,-5.219062500000001,250.0,-47.349462999918615,0.0,hit,100,left,lll,1,23,50
93,True,7.0,8,8,phase_2,110,70,v,60,0,-0.022890625,-0.022890625,2.0372656250000003,5.150390625,167.66429000010248,70.0,0.0,hit,100,right,lll,1,23,50
94,False,7.0,16,24,phase_2,250,-70,vs,0,30,-0.022890625,0.16023437499999998,-1.7854687500000002,-5.219062500000001,250.0,-53.32348900003126,0.0,hit,100,left,lll,1,23,50
