,theta0,theta,size_r,r,stp_size,stp_pos_y,p,t_p,x0,y0,x1,y1,rt,response,soa,name,sex,age,distance
44,45,40,0.28,14,0.5,-7,32.5458984375,2.145641299895942,0.3479375,-7.13271875,0.3479375,-7.13271875,0.7059623999521136,no_response,0.1,a啊,male,21,50
45,45,42,0.75,14,0.5,-7,81.703515625,1.3503709000069648,0.17396875,-7.160187500000001,10.4015,1.9594375,0.5918169000651687,hit,0.1,a啊,male,21,50
46,135,137,0.28,14,0.5,-7,7.137304687500001,1.5730443999636918,0.1465,-6.8488750000000005,-10.2366875,2.51796875,0.5684374999254942,hit,0.1,a啊,male,21,50
47,45,44,0.39,14,0.5,-7,83.53476562499999,0.9455764999147505,-0.00915625,-7.1785000000000005,10.4198125,2.637,0.5946076000109315,hit,0.1,a啊,male,21,50
48,45,51,0.28,14,0.5,-7,13.661132812499998,0.7908602999523282,0.036625,-6.7664687500000005,9.0646875,3.7632187500000005,0.5889350001234561,miss,0.1,a啊,male,21,50
49,45,45,0.39,14,0.5,-7,30.3712890625,0.835863099899143,0.37540625,-7.20596875,9.67815625,2.6553125,0.5567887998186052,hit,0.1,a啊,male,21,50
50,135,141,0.75,14,0.5,-7,85.8810546875,1.220717899966985,0.3479375,-6.9312812500000005,-10.86846875,1.6298125,0.44081449997611344,hit,0.1,a啊,male,21,50
51,135,125,0.39,14,0.5,-7,52.86132812499999,1.3166009997949004,0.15565625,-6.9679062499999995,-7.9934062500000005,4.2668125,0.6909119999036193,hit,0.1,a啊,male,21,50
52,135,144,0.2,14,0.5,-7,9.540820312499998,1.105126200011,0.13734375,-7.04115625,-11.0790625,1.4009062500000002,0.6254074999596924,miss,0.1,a啊,male,21,50
53,45,35,0.2,14,0.5,-7,7.824023437499994,0.9877319999504834,0.0,-7.04115625,11.536875,0.83321875,0.6975623001344502,miss,0.1,a啊,male,21,50
54,45,39,0.2,14,0.5,-7,2.7308593749999996,1.2554317000322044,0.07325,-6.739,11.0424375,1.5474062499999999,0.5898777998518199,miss,0.1,a啊,male,21,50
55,135,130,0.75,14,0.5,-7,97.955859375,0.7959209999535233,0.43034375,-7.141875,-7.956781250000001,3.5892500000000003,0.4573629000224173,miss,0.1,a啊,male,21,50
56,45,51,0.39,14,0.5,-7,30.943554687499997,2.7552161999046803,0.3479375,-7.18765625,8.59771875,4.156937500000001,0.5411447000224143,hit,0.1,a啊,male,21,50
57,135,137,0.75,14,0.5,-7,89.20019531250001,0.820399499963969,0.08240625,-6.91296875,-9.93453125,2.307375,0.4787516000214964,hit,0.1,a啊,male,21,50
58,45,42,0.39,14,0.5,-7,53.1474609375,2.8221539000514895,0.13734375,-7.15103125,10.355718750000001,2.453875,0.541917199967429,hit,0.1,a啊,male,21,50
59,45,43,0.28,14,0.5,-7,35.063867187499994,1.0985256000421941,0.329625,-6.6474375,10.3099375,2.66446875,0.5249346001073718,hit,0.1,a啊,male,21,50
